Статус,Тип,Размер,Размер (байт),Путь на продакшене (public_html/),Локальный путь
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,87 КБ,89655,docs/dokumenty/Приказ-№6-от-11.01.2024-Об-утверждении-в-новой-редакции-Правил-внутреннего-трудового-распорядка-ГБПОУ-РО-СИТ.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,591 КБ,605423,docs/dokumenty/Приказ-№80-от-28.08.2025-Об-утверждении-локальных-актов-регламентирующих-деятельность-по-воспитательной-работе.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,944 КБ,967649,docs/dokumenty/Приложение-1-Положение-по-оплате-труда.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,1 МБ,1867357,docs/dokumenty/Приложение-1-Положение-по-оплате-труда.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,7 МБ,7411374,docs/dokumenty/Приложение-2-Правила-проживания-в-студенческом-общежитии.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,229 КБ,234552,docs/dokumenty/Приложение-2-к-Приказу-№80-от-28.08.2025-Положение-о-руководителе-учебной-группы-техникума.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,155 КБ,159647,docs/dokumenty/Приложение-2-к-Приказу-№88-Положение-о-порядке-применении-к-обучающимся-техникума-мер-дисциплинарного-взыскания-28.08.2025.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,204 КБ,209513,docs/dokumenty/Приложение-2.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,297 КБ,304898,docs/dokumenty/Приложение-2.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,2 МБ,2493079,docs/dokumenty/Приложение-3-Приложение-№3-Положение-о-комиссии-по-вселению-в-студенческое-общежитие.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,163 КБ,167826,docs/dokumenty/Приложение-3.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,265 КБ,271540,docs/dokumenty/Приложение-3.zip,
